,job_id,client_id,final_job_status,city,almost_picking_at,pickup_at,almost_picking_at_vs_pickup_at
117,6070175,30361,finished,Barcelona,2019-02-18 17:16:46,2019-02-18 17:15:00,1.7666
118,6070534,22836,finished,Barcelona,2019-02-18 14:43:27,2019-02-18 14:45:00,-1.55
119,6070801,41145,finished,Madrid,2019-02-18 14:23:35,2019-02-18 14:30:00,-6.4166
120,6071134,64610,finished,Barcelona,2019-02-18 14:28:18,2019-02-18 14:30:00,-1.7
121,6071402,30361,finished,Barcelona,2019-02-18 17:51:33,2019-02-18 17:45:00,6.55
122,6071834,41568,finished,Barcelona,2019-02-18 16:56:02,2019-02-18 16:45:00,11.0333
123,6072208,11903,finished,Madrid,2019-02-18 17:00:24,2019-02-18 17:00:00,0.4
124,6072577,68354,finished,Barcelona,2019-02-18 16:01:08,2019-02-18 16:00:00,1.1333
125,6073080,30361,finished,Barcelona,2019-02-18 18:12:59,2019-02-18 18:15:00,-2.0166
126,6073602,41145,finished,Madrid,2019-02-18 18:32:22,2019-02-18 18:40:00,-7.6333
127,6078711,40006,finished,Barcelona,2019-02-18 19:07:20,2019-02-18 19:04:15,3.0833
128,6079832,61518,finished,Barcelona,2019-02-18 19:41:10,2019-02-18 19:46:00,-4.8333
129,6081779,43919,finished,Barcelona,2019-02-18 20:46:46,2019-02-18 20:47:00,-0.2333
130,6082651,43919,finished,Barcelona,2019-02-18 21:09:54,2019-02-18 21:15:00,-5.1
131,6064834,17998,finished,Barcelona,2019-02-18 09:11:05,2019-02-18 09:15:00,-3.9166
132,6064862,30361,finished,Barcelona,2019-02-18 13:12:33,2019-02-18 13:15:00,-2.45
133,6065027,41145,finished,Madrid,2019-02-18 08:53:53,2019-02-18 09:00:00,-6.1166
134,6065042,30361,finished,Barcelona,2019-02-18 10:09:38,2019-02-18 10:15:00,-5.3666
135,6065121,41147,finished,Madrid,2019-02-18 11:56:02,2019-02-18 12:00:00,-3.9666
136,6065247,75413,finished,Barcelona,2019-02-18 09:18:45,2019-02-18 09:15:00,3.75
137,6065930,30361,finished,Barcelona,2019-02-18 12:12:24,2019-02-18 12:15:00,-2.6
138,6066144,30361,finished,Barcelona,2019-02-18 12:46:05,2019-02-18 12:45:00,1.0833
139,6066372,41146,finished,Madrid,2019-02-18 12:26:58,2019-02-18 12:30:00,-3.0333
140,6066897,41146,finished,Madrid,2019-02-18 12:25:28,2019-02-18 12:30:00,-4.5333
141,6066978,38777,finished,Madrid,2019-02-18 12:41:46,2019-02-18 12:40:00,1.7666
142,6067027,81332,finished,Barcelona,2019-02-18 14:29:27,2019-02-18 14:30:00,-0.55
143,6067058,30361,finished,Barcelona,2019-02-18 13:12:59,2019-02-18 13:15:00,-2.0166
144,6067169,30361,finished,Barcelona,2019-02-18 17:52:24,2019-02-18 17:45:00,7.4
145,6067240,22836,finished,Barcelona,2019-02-18 18:16:08,2019-02-18 18:15:00,1.1333
146,6067517,30361,finished,Barcelona,2019-02-18 13:42:59,2019-02-18 13:45:00,-2.0166
147,6067645,64610,finished,Barcelona,2019-02-18 12:01:55,2019-02-18 12:00:00,1.9166
148,6067677,64610,finished,Barcelona,2019-02-18 11:58:54,2019-02-18 12:00:00,-1.1
149,6068620,30361,finished,Barcelona,2019-02-18 14:44:47,2019-02-18 14:45:00,-0.2166
150,6068670,73319,finished,Barcelona,2019-02-18 15:41:36,2019-02-18 15:30:00,11.6
151,6068792,30361,finished,Barcelona,2019-02-18 18:35:18,2019-02-18 18:45:00,-9.7
152,6069427,43919,finished,Madrid,2019-02-18 13:29:15,2019-02-18 13:31:00,-1.75
